127.0.0.1 - - [03/Jan/2018:09:49:20 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:49:21 +0530] "GET /tienda/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:49:21 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:49:52 +0530] "GET /tienda/users/Gertude/orders HTTP/1.1" 200 1778
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:50:03 +0530] "DELETE /tienda/users/Gertude/orders/deletes/1247569 HTTP/1.1" 500 8642
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:50:24 +0530] "DELETE /tienda/users/Gertude/orders/deletes/1247569 HTTP/1.1" 405 1013
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:57:15 +0530] "DELETE /tienda/users/Gertude/orders/deletes/1247569 HTTP/1.1" 405 1013
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:57:22 +0530] "DELETE /tienda/users/Gertude/orders/deletes/ HTTP/1.1" 405 1013
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:57:26 +0530] "DELETE /tienda/users/Gertude/orders HTTP/1.1" 405 1013
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:57:36 +0530] "GET /tienda/users/Gertude/orders/deletes/1247569 HTTP/1.1" 500 8642
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:58:19 +0530] "GET /tienda/users/Gertude/orders/deletes/1247569 HTTP/1.1" 400 57
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:58:32 +0530] "GET /tienda/users/Gertude/orders/ HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:58:47 +0530] "GET /tienda/users/Gertude/orders/deletes/1247569 HTTP/1.1" 400 57
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:59:05 +0530] "GET /tienda/users/Gertude/orders HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:59:36 +0530] "GET /tienda/users/Gertude/orders/deletes/119215410 HTTP/1.1" 200 4028
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:09:09 +0530] "DELETE /tienda/users/Gertude/orders/deletes/119215340 HTTP/1.1" 400 59
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:09:31 +0530] "DELETE /tienda/users/Gertude/orders HTTP/1.1" 405 1013
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:09:36 +0530] "GET /tienda/users/Gertude/orders HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:09:56 +0530] "DELETE /tienda/users/Gertude/orders/deletes/96357758 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:10:20 +0530] "DELETE /tienda/users/Gertude/orders/deletes/96357758 HTTP/1.1" 400 58
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:10:29 +0530] "DELETE /tienda/users/Gertude/orders/ HTTP/1.1" 405 1013
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:10:33 +0530] "GET /tienda/users/Gertude/orders/ HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:11:00 +0530] "DELETE /tienda/users/Gertude/orders/deletes/96357758 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:11:22 +0530] "GET /tienda/users/Gertude/orders/ HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:11:58 +0530] "GET /tienda/users/Gertude/orders/ HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:12:04 +0530] "GET /tienda/users/Gertude/orders/deletes/96357758 HTTP/1.1" 405 1013
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:12:08 +0530] "DELETE /tienda/users/Gertude/orders/deletes/96357758 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:12:15 +0530] "DELETE /tienda/users/Gertude/orders/deletes/96357758 HTTP/1.1" 400 58
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:12:16 +0530] "DELETE /tienda/users/Gertude/orders/deletes/96357758 HTTP/1.1" 400 58
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:12:32 +0530] "DELETE /tienda/users/Gertude/orders/deletes/96357758 HTTP/1.1" 400 58
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:12:43 +0530] "DELETE /tienda/users/Gertude/orders/deletes/96357758 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:13:36 +0530] "DELETE /tienda/users/Gertude/orders/deletes/96357758 HTTP/1.1" 400 58
0:0:0:0:0:0:0:1 - - [03/Jan/2018:10:13:47 +0530] "DELETE /tienda/users/Gertude/orders/deletes/96357758 HTTP/1.1" 200 7
